name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
14 Andromedae b,246,4.8 Jupiters,5.23133,2008
14 Herculis b,58,4.66 Jupiters,6.61935,2002
16 Cygni B b,69,1.78 Jupiters,6.215,1996
18 Delphini b,249,10.3 Jupiters,5.51048,2008
1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
24 Bootis b,313,0.91 Jupiters,5.59,2018
24 Sextantis b,235,1.99 Jupiters,6.4535,2010
24 Sextantis c,235,0.86 Jupiters,6.4535,2010
47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
55 Cancri f,41,0.141 Jupiters,5.95084,2007
61 Virginis c,28,18.2 Earths,4.6955,2009
70 Virginis b,58,7.49 Jupiters,4.96808,1996
7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
AB Pictoris b,163,13.5 Jupiters,9.13,2005
BD-06 1339 b,66,8.5 Earths,9.7,2013
BD-08 2823 b,135,12.7132 Earths,9.86,2009
BD-10 3166 b,275,0.59 Jupiters,10.013,2000
BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
55 Cancri f,41,0.141 Jupiters,5.95084,2007
61 Virginis c,28,18.2 Earths,4.6955,2009
70 Virginis b,58,7.49 Jupiters,4.96808,1996
7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
AB Pictoris b,163,13.5 Jupiters,9.13,2005
BD-06 1339 b,66,8.5 Earths,9.7,2013
BD-08 2823 b,135,12.7132 Earths,9.86,2009
BD-10 3166 b,275,0.59 Jupiters,10.013,2000
BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
51 Eridani b,97,2 Jupiters,5.21149,2015
51 Pegasi b,50,0.46 Jupiters,5.45309,1995
55 Cancri b,41,0.8306 Jupiters,5.95084,1996
55 Cancri c,41,0.1714 Jupiters,5.95084,2004
55 Cancri d,41,3.878 Jupiters,5.95084,2002
55 Cancri e,41,7.99 Earths,5.95084,2004
47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
51 Eridani b,97,2 Jupiters,5.21149,2015
51 Pegasi b,50,0.46 Jupiters,5.45309,1995
55 Cancri b,41,0.8306 Jupiters,5.95084,1996
55 Cancri c,41,0.1714 Jupiters,5.95084,2004
55 Cancri d,41,3.878 Jupiters,5.95084,2002
55 Cancri e,41,7.99 Earths,5.95084,2004
CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
CoRoT-2 b,696,3.47 Jupiters,12.516,2008
CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.5577,2013
DMPP-3 A b,148,2.58 Earths,9.066,2019
EPIC 201497682 b,825,0.26 Earths,13.948,2019
EPIC 201754305 d,1093,1.08 Earths,14.668,2019
EPIC 201757695.02,1884,0.688 Earths,14.974,2020
EPIC 201833600 c,840,0.972 Earths,14.705,2019
EPIC 201841433 b,1424,1.12 Earths,14.983,2019
EPIC 205950854 c,796,2.27 Earths,12.365,2019
EPIC 206024342 b,1207,3.53 Earths,13.096,2019
EPIC 206032309 b,526,1.01 Earths,17.89,2019
EPIC 206215704 b,358,0.666 Earths,17.83,2019
EPIC 212297394 b,1365,2.31 Earths,14.611,2019
EPIC 212499991 b,924,3.19 Earths,13.672,2019
EPIC 212737443 c,1097,7.7 Earths,14.81,2019
EPIC 220554210 c,1619,2.79 Earths,14.21,2019
EPIC 220674823 b,798,7.72 Earths,12.101,2016
EPIC 246851721 b,1216,3 Jupiters,11.237,2018
EPIC 205950854 c,796,2.27 Earths,12.365,2019
EPIC 206024342 b,1207,3.53 Earths,13.096,2019
EPIC 206032309 b,526,1.01 Earths,17.89,2019
EPIC 206215704 b,358,0.666 Earths,17.83,2019
EPIC 212297394 b,1365,2.31 Earths,14.611,2019
EPIC 212499991 b,924,3.19 Earths,13.672,2019
EPIC 212737443 c,1097,7.7 Earths,14.81,2019
EPIC 220554210 c,1619,2.79 Earths,14.21,2019
EPIC 220674823 b,798,7.72 Earths,12.101,2016
EPIC 246851721 b,1216,3 Jupiters,11.237,2018
EPIC 249893012 b,1048,8.75 Earths,11.429,2020
EPIC 249893012 c,1048,14.67 Earths,11.429,2020
Epsilon Eridani b,10,0.78 Jupiters,3.71548,2000
G 9-40 b,91,4.76 Earths,13.821,2019
GJ 1132 c,41,2.64 Earths,13.68,2018
GJ 1148 c,36,0.21414 Jupiters,11.939,2017
GJ 15 A b,12,3.03 Earths,8.09,2014
GJ 180 c,39,6.4 Earths,10.914,2014
GJ 2056 b,93,16.2 Earths,10.37,2020
GJ 229 b,19,8.478 Earths,8.15,2014
GJ 27.1 b,77,13 Earths,11.45,2014
GJ 3021 b,57,3.37 Jupiters,6.59,2000
GJ 3138 b,93,1.78 Earths,10.8275,2017
GJ 3138 d,93,10.5 Earths,10.8275,2017
